Title,Price,# of Bedrooms,sqft,City,Post Date,Link
"60 Casa Street, Unit #27","$2,500",2br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-60-casa-street-unit-27/7594018207.html
Near Spyglass Park,"$2,300",2br,None Listed,Shell Beach,2/27,https://slo.craigslist.org/apa/d/pismo-beach-near-spyglass-park/7589463247.html
Near Shopping,"$1,850",2br,None Listed,Nipomo,2/27,https://slo.craigslist.org/apa/d/pismo-beach-near-shopping/7592231147.html
Heart of Shell Beach,"$2,200",2br,None Listed,Shell Beach,2/27,https://slo.craigslist.org/apa/d/pismo-beach-heart-of-shell-beach/7591891178.html
"3335 Broad Street, Unit #25","$3,000",2br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-3335-broad-street-unit/7594014906.html
AVAILABLE MARCH - Nice Los Osos Home - 3 Bed / 2 Bath,"$2,600",3br,None Listed,3br,2/27,https://slo.craigslist.org/apa/d/los-osos-available-march-nice-los-osos/7589823525.html
AVAILABLE MARCH - Beautiful Home With Views - 3 bed / 2 bath,"$3,500",3br,None Listed,3br,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-available-march/7587671669.html
85-B Stenner Street,"$3,400",2br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-85-stenner-street/7594008723.html
634 Stanford Drive,"$5,000",3br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-634-stanford-drive/7594006067.html
NICE HOUSE AVAILABLE JULY – OPEN HOUSE 2/25 & 2/26,"$3,600",3br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-nice-house-available/7592132395.html
NICE 3BR HOUSE AVAILABLE in JULY,"$3,600",3br,None Listed,SAN LUIS OBISPO,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-nice-3br-house/7592495686.html
1675 Lima Drive,"$3,000",3br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-1675-lima-drive/7594001881.html
AVAILABLE MARCH - Beautiful Home in Cypress Ridge - 4 Bed / 3.5 Bath,"$4,100",4br,None Listed,4br,2/27,https://slo.craigslist.org/apa/d/arroyo-grande-available-march-beautiful/7586962707.html
AVAILABLE MARCH - Fully Furnished San Luis Obispo Home - 3Bd/2Bth,"$3,700",3br,None Listed,3br,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-available-march-fully/7584210509.html
AVAILABLE MARCH - Remodeled Home In Paso Robles - 3 Bed / 2 Bath,"$2,950",3br,None Listed,3br,2/27,https://slo.craigslist.org/apa/d/paso-robles-available-march-remodeled/7593028316.html
AVAILABLE MARCH - Recently Updated Home in Templeton - 2 Bed / 2 Bath,"$3,200",2br,None Listed,2br,2/27,https://slo.craigslist.org/apa/d/templeton-available-march-recently/7593058121.html
3 Bedroom 2 bath Upstairs Las Lomas Village Apartment,"$2,700",3br,1075ft2,9245 Ciruela Way Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-bedroom-bath-upstairs-las/7593978183.html
932 Calle Cynthia,"$2,900",3br,1208ft2,Atascadero CA.,2/27,https://slo.craigslist.org/apa/d/atascadero-932-calle-cynthia/7590599210.html
6455 Santa Lucia Unit 4,"$1,325",1br,None Listed,Atascadero CA,2/27,https://slo.craigslist.org/apa/d/atascadero-6455-santa-lucia-unit/7589117544.html
Peaceful one bedroom house for rent in the countryside,"$1,950",1br,None Listed,San Miguel,2/27,https://slo.craigslist.org/apa/d/paso-robles-peaceful-one-bedroom-house/7587036534.html
3 bed/2 bath Apartment NEW CONSTRUCTION,"$3,300",3br,None Listed,"Orcutt, CA",2/27,https://slo.craigslist.org/apa/d/santa-maria-bed-bath-apartment-new/7584559162.html
"2 bed, 1 bath Apartment $2,660","$2,660",2br,None Listed,"Orcutt, CA",2/27,https://slo.craigslist.org/apa/d/santa-maria-bed-bath-apartment-2660/7588188543.html
"2 bed, 2 bath Apartment $2,800","$2,800",2br,None Listed,"Orcutt, CA",2/27,https://slo.craigslist.org/apa/d/santa-maria-bed-bath-apartment-2800/7588191782.html
838 Tarragon Lane,"$3,000",2br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-838-tarragon-lane/7593958802.html
"324 N. Chorro Street, Unit #8","$2,100",2br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-324-chorro-street-unit/7593954966.html
"305 N. Chorro , Unit B","$3,200",2br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-305-chorro-unit/7593952098.html
672 E. Foothill Blvd.,"$3,500",3br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-672-foothill-blvd/7593940891.html
Small 1 Bedroom House in Atascadero,"$1,805",1br,None Listed,atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-small-bedroom-house-in/7590426480.html
Corner Two Bedroom beautiful views Twin Creeks,"$3,275",2br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-corner-two-bedroom/7588201345.html
241 E. Foothill Blvd.,"$6,000",4br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-241-foothill-blvd/7593936002.html
Beautifully remodeled Two Bedroom Oak Park Village,"$2,695",2br,None Listed,Grover Beach,2/27,https://slo.craigslist.org/apa/d/grover-beach-beautifully-remodeled-two/7588204940.html
Lovely One Bedroom with spacious patio! *NEW*,"$2,795",1br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-lovely-one-bedroom-with/7589124998.html
"324 N. Chorro Street, Unit #7","$2,100",2br,None Listed,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-324-chorro-street-unit/7593930611.html
595 S 14th St,"$2,995",3br,None Listed,Grover Beach,2/27,https://slo.craigslist.org/apa/d/grover-beach-595-14th-st/7593926998.html
Conveniently Located,"$1,950",2br,None Listed,Grover Beach,2/27,https://slo.craigslist.org/apa/d/grover-beach-conveniently-located/7593913908.html
"Enjoy breathtaking views from this large 3 bedroom , 2 bath home","$4,500",3br,2400ft2,Los Osos,2/27,https://slo.craigslist.org/apa/d/los-osos-enjoy-breathtaking-views-from/7585284296.html
3Bdrm 3Bth 2 Story Morro Bay House for Lease,"$3,200",3br,1308ft2,North Morro Bay,2/27,https://slo.craigslist.org/apa/d/morro-bay-3bdrm-3bth-story-morro-bay/7593898221.html
Parke West Apartments,"$2,450",2br,791ft2,Orcutt,2/27,https://slo.craigslist.org/apa/d/santa-maria-parke-west-apartments/7591515460.html
Parke West Apartments,"$2,400",2br,791ft2,Orcutt,2/27,https://slo.craigslist.org/apa/d/santa-maria-parke-west-apartments/7589535850.html
Paso Robles 1 bed 1 beautiful bath apartment,"$1,695",1br,490ft2,1br490ft2,2/27,https://slo.craigslist.org/apa/d/paso-robles-paso-robles-bed-beautiful/7584372066.html
large 1 BR Apartment,"$1,400",1br,700ft2,Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-large-br-apartment/7593856610.html
New Construction 3BR 2.5 Bath House San Luis Ranch,"$4,000",3br,1545ft2,San Luis Ranch,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-new-construction-3br-25/7593840533.html
Nice 3 Bedroom 2 Bath,"$3,400",3br,None Listed,Arroyo Grande,2/27,https://slo.craigslist.org/apa/d/oceano-nice-bedroom-bath/7592153050.html
Vintage downtown SLO 3 bed,"$3,000",3br,1200ft2,SLO,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-vintage-downtown-slo-bed/7592863094.html
Luxury upstairs 1 bedroom 28 days only,"$1,600",1br,600ft2,Nipomo,2/27,https://slo.craigslist.org/apa/d/nipomo-luxury-upstairs-bedroom-28-days/7593811018.html
2 BR HOUSE in the country,"$2,950",2br,1300ft2,SLO,2/26,https://slo.craigslist.org/apa/d/pismo-beach-br-house-in-the-country/7593765454.html
Turn-Key 1 Bedroom Luxury Vacation Cottage,"$2,580",1br,450ft2,Atascadero,2/26,https://slo.craigslist.org/apa/d/atascadero-turn-key-bedroom-luxury/7593760508.html
Turn-Key 1 Bedroom Luxury Vacation Cottage,"$1,880",1br,450ft2,Atascadero,2/26,https://slo.craigslist.org/apa/d/atascadero-turn-key-bedroom-luxury/7593759704.html
Turn-Key 1 Bedroom Luxury Vacation Cottage,"$1,880",1br,450ft2,Atascadero,2/26,https://slo.craigslist.org/apa/d/atascadero-turn-key-bedroom-luxury/7593759377.html
Templeton Schools - Private Yard - Near Target,"$2,800",3br,None Listed,Paso Robles,2/26,https://slo.craigslist.org/apa/d/templeton-templeton-schools-private/7593740142.html
Rare 2BR-1BA Penthouse in the Beautiful Neighborhood of Crown Hill,"$2,800",2br,None Listed,Village of Arroyo Grande,2/26,https://slo.craigslist.org/apa/d/arroyo-grande-rare-2br-1ba-penthouse-in/7589244871.html
Rare 4BR-1BA Ground Unit in the Beautiful Neighborhood of Crown Hill,"$2,800",4br,None Listed,Village of Arroyo Grande,2/26,https://slo.craigslist.org/apa/d/arroyo-grande-rare-4br-1ba-ground-unit/7589245744.html
Detached Studio/Room,"$1,400",1br,265ft2,Atascadero,2/26,https://slo.craigslist.org/apa/d/atascadero-detached-studio-room/7593686376.html
Large 3drm 2bath house,"$3,500",3br,2100ft2,Pismo Beach Heights,2/26,https://slo.craigslist.org/apa/d/pismo-beach-large-3drm-2bath-house/7593685006.html
"2bdrm w/Office, Walk to Cal Poly & Downtown SLO","$2,950",2br,None Listed,Cal Poly & Downtown SLO,2/26,https://slo.craigslist.org/apa/d/san-luis-obispo-2bdrm-office-walk-to/7593664255.html
garden farms,"$1,300",1br,600ft2,Atascadero,2/26,https://slo.craigslist.org/apa/d/atascadero-garden-farms/7593659478.html
Cedar Creek Village Condo,"$3,400",2br,1050ft2,San Luis Obispo,2/26,https://slo.craigslist.org/apa/d/san-luis-obispo-cedar-creek-village/7593631945.html
Quiet Large One Bedroom with a loft in Downtown SLO,"$2,300",1br,865ft2,Downtown,2/26,https://slo.craigslist.org/apa/d/san-luis-obispo-quiet-large-one-bedroom/7593582835.html
1 bdrm / 1 bath apt in SLO near Sinsheimer Park,"$1,600",1br,500ft2,San Luis Obispo,2/26,https://slo.craigslist.org/apa/d/san-luis-obispo-bdrm-bath-apt-in-slo/7593574091.html
